car_id,value_efficiency_score,age_usage_score,performance_range_score,equipment_score,final_score,valid_from,valid_to,is_latest,scrape_date
93924,70.11544292921138,48.6176,94.38340745284466,57.142857142857146,67.5648268812283,NaT,nan,True,NaT
39582,24.863567256592734,60.0,90.0,100.0,68.71589181414818,NaT,nan,True,NaT
14080,57.97831215696448,48.57142857142857,94.15540561263612,42.857142857142854,60.890572299543,NaT,nan,True,NaT
14074,34.173412949706425,42.85714285714286,87.01426161631653,0.0,41.011204355791456,NaT,nan,True,NaT
14070,75.38704057072009,65.22148571428572,67.0,57.142857142857146,66.18784585696574,NaT,nan,True,NaT
1295,68.48287106192461,42.46617142857143,27.0,21.428571428571427,39.84440347976686,NaT,nan,True,NaT
38011,88.7244229556443,27.692952380952384,95.52341665388744,64.28571428571429,69.0566265690496,NaT,nan,True,NaT
9296,30.783828952937792,67.72022857142858,85.65710780555129,50.0,58.54029133247941,NaT,nan,True,NaT
95878,66.8836854451643,44.96822857142858,94.15540561263612,57.142857142857146,65.78754419302155,NaT,nan,True,NaT
27433,32.06850892315987,54.72,86.47140009201044,57.142857142857146,57.60069153950686,NaT,nan,True,NaT
5928,29.29546884797661,61.36868571428572,92.78739457138477,57.142857142857146,60.14860156912606,NaT,nan,True,NaT
95560,72.92991489411408,41.13691428571429,95.52341665388744,85.71428571428571,73.82613288700038,NaT,nan,True,NaT
93924,70.11544292921138,48.6176,94.38340745284466,57.142857142857146,67.5648268812283,NaT,nan,True,NaT
39582,24.863567256592734,60.0,90.0,100.0,68.71589181414818,NaT,nan,True,NaT
14080,57.97831215696448,48.57142857142857,94.15540561263612,42.857142857142854,60.890572299543,NaT,nan,True,NaT
14074,34.173412949706425,42.85714285714286,87.01426161631653,0.0,41.011204355791456,NaT,nan,True,NaT
14070,75.38704057072009,65.22148571428572,67.0,57.142857142857146,66.18784585696574,NaT,nan,True,NaT
1295,68.48287106192461,42.46617142857143,27.0,21.428571428571427,39.84440347976686,NaT,nan,True,NaT
38011,88.7244229556443,27.692952380952384,95.52341665388744,64.28571428571429,69.0566265690496,NaT,nan,True,NaT
9296,30.783828952937792,67.72022857142858,85.65710780555129,50.0,58.54029133247941,NaT,nan,True,NaT
95878,66.8836854451643,44.96822857142858,94.15540561263612,57.142857142857146,65.78754419302155,NaT,nan,True,NaT
27433,32.06850892315987,54.72,86.47140009201044,57.142857142857146,57.60069153950686,NaT,nan,True,NaT
5928,29.29546884797661,61.36868571428572,92.78739457138477,57.142857142857146,60.14860156912606,NaT,nan,True,NaT
95560,72.92991489411408,41.13691428571429,95.52341665388744,85.71428571428571,73.82613288700038,NaT,nan,True,NaT
93924,70.11544292921138,48.6176,94.38340745284466,57.142857142857146,67.5648268812283,NaT,nan,True,NaT
